order_id,order_date,locale,customer_id,sku,quantity,amount,currency,status
S1001,01/05/2025,en_US,C001,A-10,2,$39.98,USD,Complete
S1002,07/01/2025,en_GB,C002,B-20,1,19.50,EUR, complete
S1003,Jan 8 2025,en_US,C003,A-10,4,,USD,Complete
S1001,2025-01-05,ISO,C001,A-10,2,39.98,USD,COMPLETE
S1004,09.01.2025,de_DE,C003,C-30,3,45,EUR,Complete
S1005,10-Jan-2025,en_GB,C004,A-10,1,(19.99),USD,Refunded
S1006,2025-01-11,ISO,C002,D-40,2,120.00,USD,Complete
S1007,2025-13-01,ISO,C005,B-20,1,19.50,USD,Complete
S1008,2025-01-12,ISO,C006,E-50,0,33.00,USD,Complete
S1009,12/01/2025,en_GB,C007,F-60,1,22.00,GBP,Complete
S1010,13/01/2025,en_GB,C999,A-10,1,18.00,USD,Complete
S1011,14/01/2025,en_GB,C008,G-70,1,1000.00,JPY,Complete
S1012,2025-02-30,ISO,C001,H-80,1,10.00,USD,Complete
S1013,31/02/2025,en_GB,C002,H-81,1,10.00,USD,Complete
S1014,02/14/2025,en_GB,C003,H-82,1,10.00,USD,Complete
S1015,2025-01-15,ISO,C004,H-83,0,,USD,Complete
S1016,2025-01-16,ISO,C999,H-84,0,12.00,JPY,Complete
S1017,2025-01-17,ISO,C006,H-85,1,15.00,USD,Complete
S1017,not-a-date,ISO,C006,H-85,1,15.00,USD,Complete
S1018,2025-01-18,ISO,C006,H-86,1,"1,234.50",USD,Complete
S1019,19/01/2025,en_GB,C007,H-87,2,"€10.00",EUR,Returned
S1020,20.01.2025,de_DE,C003,I-10,1,"1.234,56",EUR,Complete
S1021,01/21/2025,en_US,C001,I-11,1,"$1,234.56",USD,Complete
S1022,22/01/2025,en_GB,C007,I-12,1,"-€10.00",EUR,Refunded
S1023,23/01/2025,en_GB,C004,I-13,1,"10.00",EUR,Returned
