payment_id,order_id,payment_date,amount,currency,status
P5001,O1001,2025-02-01,240.00,USD,captured
P5002,O1002,2025-02-08,100.00,EUR,captured
P5002-DUP,O1002,2025-02-08,100.00,EUR,captured
P5003,O1003,2025-02-10,80.00,USD,captured
P5004,O1004,2025-02-12,200.00,GBP,captured
P5005,O1005,2025-02-13,90.00,USD,captured
P5006,O1006,2025-02-20,50.00,USD,captured
P5007,O4040,2025-02-21,33.00,USD,captured
P5008,O1007,2025-02-24,80.00,EUR,captured
P5008-DUP,O1007,2025-02-24,80.00,EUR,captured
P5009,O1008,2025-02-25,550.00,USD,captured
P5010,O1008,2025-02-25,550.00,USD,voided
P5011,O1009,2025-02-26,40.00,USD,captured
P5012,O1010,2025-02-28,60.00,USD,authorized
P5013,O7777,2025-02-28,44.00,GBP,captured
P5014,O1005,2025-02-13,10.00,USD,captured
