transaction_id,customer_id,card_id,timestamp,amount_usd,country,billing_country,ip_country,merchant
T001,C001,CARD-1,2025-02-01T09:00:00,120.00,US,US,US,Bookstore
T002,C002,CARD-2,2025-02-01T09:05:00,12500.00,US,US,US,Electronics
T003,C003,CARD-3,2025-02-01T10:00:00,35.00,US,US,US,Coffee
T004,C003,CARD-3,2025-02-01T10:04:00,41.00,US,US,US,Taxi
T005,C003,CARD-3,2025-02-01T10:08:00,55.00,US,US,US,Pharmacy
T006,C004,CARD-4,2025-02-01T11:00:00,2500.00,NG,NG,NG,Travel
T007,C005,CARD-5,2025-02-01T11:30:00,1500.00,US,US,DE,Marketplace
T008,C006,CARD-6,2025-02-01T12:00:00,50.00,US,US,FR,Music
T009,C007,CARD-7,2025-02-01T12:20:00,1800.00,CA,CA,CA,Furniture
T010,C008,CARD-8,2025-02-01T13:00:00,1000.00,US,US,US,Groceries
T011,C009,CARD-8,2025-02-01T13:05:00,12500.00,US,US,DE,Electronics
T012,C008,CARD-8,2025-02-01T13:10:00,2500.00,BR,BR,BR,Travel
T013,C010,CARD-9,2025-02-01T14:00:00,20.00,US,US,US,Cafe
T014,C010,CARD-9,2025-02-01T14:05:00,25.00,US,US,US,Cafe
T015,C010,CARD-9,2025-02-01T14:10:01,30.00,US,US,US,Cafe
T016,C011,CARD-10,2025-02-01T15:00:00,18.00,US,US,US,Snack
T017,C011,CARD-11,2025-02-01T15:03:00,19.00,US,US,US,Snack
T018,C011,CARD-12,2025-02-01T15:06:00,20.00,US,US,US,Snack
T019,C012,CARD-13,2025-02-01T16:09:00,60.00,US,US,US,Transit
T020,C012,CARD-13,2025-02-01T16:00:00,50.00,US,US,US,Transit
T021,C012,CARD-13,2025-02-01T16:04:00,70.00,US,US,US,Transit
T022,C013,CARD-14,2025-02-01T17:00:00,10000.00,IN,IN,FR,Jewelry
T023,C014,CARD-15,2025-02-01T18:10:00,10.00,US,US,US,Parking
T024,C014,CARD-15,2025-02-01T18:00:00,11.00,US,US,US,Parking
T025,C014,CARD-15,2025-02-01T18:05:00,12.00,US,US,US,Parking
T026,C015,CARD-16,2025-02-01T19:00:00,10.00,US,US,US,Cafe
T027,C015,CARD-16,2025-02-01T19:10:01,11.00,US,US,US,Cafe
T028,C015,CARD-16,2025-02-01T19:20:00,12.00,US,US,US,Cafe
T029,C016,CARD-17,2025-02-01T20:00:00,999.99,US,CA,US,Marketplace
T030,C017,CARD-18,2025-02-01T20:05:00,1999.99,BR,BR,BR,Travel
T031,C018,CARD-19,2025-02-01T21:00:00,12000.00,MX,MX,DE,Jewelry
T032,C019,CARD-20,2025-02-01T21:10:00,1000.00,GB,GB,US,Hotel
