sku,week_start,units_sold
SKU-A,2025-02-03,20
SKU-A,2025-02-10,22
SKU-A,2025-02-17,18
SKU-A,2025-02-24,24
SKU-B,2025-02-03,5
SKU-B,2025-02-10,8
SKU-B,2025-02-17,7
SKU-B,2025-02-24,6
SKU-C,2025-02-03,40
SKU-C,2025-02-10,44
SKU-C,2025-02-17,42
SKU-C,2025-02-24,46
SKU-D,2025-02-03,12
SKU-D,2025-02-10,10
SKU-D,2025-02-17,14
SKU-D,2025-02-24,12
SKU-F,2025-02-03,9
SKU-F,2025-02-10,9
SKU-F,2025-02-17,9
SKU-F,2025-02-24,9
SKU-G,2025-02-03,8
SKU-G,2025-02-10,8
SKU-G,2025-02-17,8
SKU-G,2025-02-24,8
SKU-H,2025-02-03,12
SKU-H,2025-02-10,13
SKU-H,2025-02-17,14
SKU-H,2025-02-24,15
SKU-I,2025-02-03,4
SKU-I,2025-02-10,4
SKU-I,2025-02-17,4
SKU-I,2025-02-24,4
SKU-Z,2025-02-24,999
