claim_id,claim_text
CL-01,The intervention improved overall retention by 8.2 percentage points.
CL-02,Every cohort improved retention after the intervention.
CL-03,The primary outcome was pre-registered as retention at day 30.
CL-04,The study included 2400 participants.
CL-05,The Appendix D subgroup ablation can be reproduced from the deposited files.
CL-06,The treatment reduced support tickets by 12 percent.
CL-07,No adverse events were reported in peer review.
CL-08,The analysis can be rerun end-to-end with the provided package.
CL-09,The mobile subgroup had the largest retention lift.
CL-10,The reported retention lift should be 7.4 percentage points after errata.
CL-11,The intervention improved activation in all regions.
CL-12,The exported table includes a p-value for retention lift.
CL-13,The paper proves causal impact for all customers.
CL-14,The methods appendix states the sample excluded trial accounts.
